0,Fecha,Hora,Usuario,Nota Técnica
4007,8/12/2022,9:13:34,lolo,ya está en apple
4007,1/9/2023,15:30:29,Jeibito,"desiste se va como vino"
4042,8/3/2022,15:50:58,nico,"no sale en el otro servicio tecnico le quicieron resoldar el micro y lo mataron"
4049,8/8/2022,9:32:13,nico,"presupuestar corto en vcc main puede tener mas cosas esta manoseado"
4049,8/8/2022,12:36:18,Marce Scana,no sale
4135,8/17/2022,10:40:59,Marce Scana,lo llevo a otro servicio técnico y le dijeron que era la placa
4135,8/17/2022,12:37:51,lolo,a la espera de su llegada
4135,8/18/2022,12:21:34,nico,"esta en recovery hay que restaurarlo preguntar al cliente"
4135,8/18/2022,16:53:46,Marce Scana,ok para restaurar
4135,8/19/2022,13:31:37,nico,"presupuestar microsoldadura por error 9 45k puede tener mas cosas"
4135,8/22/2022,15:34:11,Jeibito,NO LO HACE
4135,8/22/2022,15:55:28,nico,no sale
4181,8/25/2022,14:44:1,nico,"no sale tiene roto el conector de la pantalla tanto en el flex como en la placa tambien parece q ya le cambiaron la pantalla"
4200,8/30/2022,14:34:31,lolo,"sigo revisando porque no enciende tiene la pantalla como el niño de pijama a rayas"
4200,9/2/2022,14:44:31,lolo,"presupuestar cambio de batería cambio de disco a un ssd y aumento de memoria RAM. La pantalla tiene rayas pero no le pude revisar más cosas porque no tenía un disco con el soft su compu no prendía porque tiene mal la bate y ese modelo no prende sin batería después dio imagen pero tiraba error por el disco presupuestar esas 3 cosas cualquier porblema que pueda tener después va a estar en los costos del resto. La pantalla avisar que tiene lineas"
4200,9/5/2022,12:57:22,Jeibito,LAS LINEAS DE LA PANTA ES PARA CAMBIO DE PANTA? SE PUEDE USAR ASÍ ? PORFA SACARLE FOTITO ASI LE MANDO
4200,9/5/2022,16:6:13,lolo,"te pase foto al wpp está bastante utilizable"
4200,9/5/2022,16:6:30,lolo,"pero el problema es de la panta si lo quiere solucionar tiene que cambiarla"
4200,9/6/2022,11:4:41,Jeibito,ESTÁ GORRIBLE ESA PANTA!! ES INUSABLE BLDO
4200,9/6/2022,11:5:19,Jeibito,SE JUSTIFICA CAMBIARLA?? CUANTO SALE$$$$$
4200,9/7/2022,11:54:56,lolo,"tiene un problema en el GPU que es bastante común vamos a intentar hacerle una reparación para ver si sabemos hacerla y te paso el presupuesto pero yo creo que no va a salir el jefe cree que si"
4200,9/7/2022,13:3:35,lolo,"la reparación de la pantalla se la regalamos porque no sabemos si le va a dura toda la vida o 15minutos. Presupuestar cambio de disco a 240gb y reparación de batería para que le prenda la computadora si solamente quiere que le prenda la compu y funcione preguntar a Agus el presupuestose puede poner una batería nueva a la compu sin necesidad de hacer modificaciones a otra preguntar presupuesto a Agus"
4200,9/7/2022,13:15:16,lolo,la batería de costo está 22k
4200,9/14/2022,15:12:19,Jeibito,CUANTO BATE DISCO Y RAM??? $$$$
4200,9/15/2022,9:13:15,Señor Rafa,"6500 pesos es el costo del disco. Ram 8gb c/u 8mil pesos se le puede poner 2 unidades. El costo nuestro total es 45k (Bateria Ram 16gb disco ssd240) el problema de la pantalla se lo hacemos gratis (sin garantía) y le cobramos por todo 69mil pesos."
4200,9/15/2022,11:20:32,Jeibito,PERANDO RTA
4200,10/25/2022,17:44:9,Jeibito,CERRAME BB
4200,10/26/2022,10:5:30,lolo,"no sale ya se cerró"
4240,9/2/2022,12:23:2,lolo,"está en la manzana estamos intentando restaurarlo"
4240,9/2/2022,15:46:27,nico,"Watch33"
4240,9/21/2022,11:50:32,lolo,Llevar a Apple para restaurarlo
4240,9/21/2022,15:34:39,Soldier,"se llevo a apple pedir apple id y contraseña pasar no menos de 6k"
4240,9/22/2022,11:41:5,Marce Scana,ok de cliente
4240,9/22/2022,11:41:7,Marce Scana,beluchys_g_18@hotmail.com
4240,9/22/2022,11:43:55,Marce Scana,Aiseeutepego19
4240,9/22/2022,13:5:4,Marce Scana,ya esta descvinculado
4240,9/27/2022,12:27:49,Señor Rafa,!ReJ08P3F!)$veUYQNyRH%AL
4240,9/27/2022,12:28:7,Señor Rafa,TheDonIphone
4240,10/4/2022,10:17:17,Jeibito,"Usuario: TheDonIphone Pass: !ReJ08P3F!)$veUYQNyRH%AL https://thedoniphone.com.ar/wp-admin"
4240,10/5/2022,12:58:30,nico,https://www.youtube.com/watch?v=E9zZuz7UhJQ&t=271s&ab_channel=TechRax
4242,8/31/2022,13:4:12,lolo,"pedir contraseña tiene los flexibles de la pantalla cortados"
4242,8/31/2022,13:4:27,lolo,6 digitos
4242,8/31/2022,15:11:58,Jeibito,PERANDO RTA
4242,9/1/2022,15:53:54,Jeibito,200490
4242,9/2/2022,9:28:4,lolo,"presupuestar cambio de pantalla y cambio de batería (está en 51%) Todo el resto funciona ok"
4242,9/2/2022,11:16:55,Jeibito,QUE ONDA LA TAPA TRASERA??
4242,9/2/2022,11:19:26,nico,"le falta la parte de las lente tiene las dos lentes expuestas presupuestar cambio de vidrio trasero con el anillo q cubre las camaras tambien"
4242,9/2/2022,13:34:17,Jeibito,PERANDO RTA
4289,9/7/2022,12:11:41,nico,"tiene un problema en la nand es bastante complejo presupuestar 40k puede tener mas cosas la pantalla tiene el vidrio roto pero parece q la imagen funciona bien"
4289,9/12/2022,10:11:43,Marce Scana,"no se repara dejar como estaba"
4289,9/12/2022,10:40:8,nico,ok
4291,9/8/2022,9:43:25,lolo,"decir que hay que restaurar el disco capaz se soluciona con eso o hay que cambiar el disco. Con otro disco funciona"
4291,9/8/2022,9:43:40,lolo,Después de restaurarlo te digo si tiene algún problema más
4291,9/16/2022,9:1:18,lolo,"no tengo un disco con sistema operativo va a tener que esperar a que aparezca alguno"
4291,9/20/2022,10:27:56,lolo,"tiene un problema en la GPU se puede hacer un re-flow para que le funcione un poco pero es al pedo si quiere recuperar la ifno se puede sacar el disco y dejarlo como externo preguntar si quiere recuperar la ifno sino lo cierro"
4291,9/20/2022,15:40:44,lolo,me la llevo
4319,9/13/2022,11:16:51,lolo,"presupuesatr cambio de cable la placa sigue funcionando"
4319,9/15/2022,13:45:35,Marce Scana,no lo repara
4370,9/15/2022,18:12:12,Marce Scana,"kilombola@hotmail.com Simo2013"
4370,9/20/2022,15:25:25,Señor Rafa,"averiguar el numero de imei que está escrito en la bandeja de sim de la mina a ver si con ese dato podemos sacar la info de bluetooth y s/n y wifi."
4370,10/18/2022,13:57:38,nico,353218102495679
4370,10/20/2022,15:49:23,nico,"no coincide el bt con el wifi no va a salir nunca lo usamos como repuestos queda una memoria de 256gb ya desoldada"
4419,9/26/2022,11:37:46,nico,"no prende con la fuente ni tiene consumo ya está tocada tenía un integradito roto. Se lo paso a Agus a ver si lo puede hacer dar señales de vida"
4419,9/27/2022,17:32:49,Señor Rafa,"falta vdd boost presupuestar 25mil pesos en caso de que salga. Alguien lo manoseó y arrancó muchas pistas en el integrado que genera la tensión."
4419,9/28/2022,14:0:19,Jeibito,perando rta
4419,10/12/2022,14:55:3,Jeibito,LO DEJA EN STAND BY HASTA QUE LE CONTESTE EL HERMANO
4419,1/3/2023,11:58:31,lolo,"(usamos la carcasa con el pin de carga para otro celu cuando se arregle este hay que arreglarle la carcasa que tiene y tambien ponerle otro pin de carga su camara se probó en el otro celular y no andaba)"
4535,10/18/2022,9:7:32,lolo,"presupuestar ic de carga  no prende puede tener algo más pero no se sabe"
4535,10/20/2022,10:5:43,Marce Scana,ok para micro
4535,10/20/2022,10:15:55,lolo,se lo paso al jefe
4535,10/20/2022,13:5:53,Señor Rafa,cambie ic de carga no carga un carajo
4535,10/20/2022,13:47:11,lolo,"tiene mal el pin de carga y esta en loop hay q restaurarlo puede tener mas cosas"
4535,10/21/2022,11:9:47,Marce Scana,"ok para restaurar y si es el pin de carga y no el ic mandale mecha"
4535,10/24/2022,11:44:19,nico,"no quedo bien el ic de carga con dos pines de carga mide 0.6"
4535,10/28/2022,8:53:16,Señor Rafa,Alguno puede hacer el ic de carga?
4535,10/28/2022,13:28:10,lolo,"no salió devolver como vino"
4535,10/28/2022,13:30:7,Marce Scana,son unos pajeros
4535,10/28/2022,14:5:30,nico,disculpa
4535,10/31/2022,10:43:25,Marce Scana,cerralo que me lo llevo
4535,10/31/2022,10:45:28,nico,ya esta en obe no?
4535,10/31/2022,10:49:59,Marce Scana,no
4535,10/31/2022,12:53:11,lolo,"MIC ya se cerró el viernes venir a buscar"
4539,10/17/2022,15:25:25,nico,"preguntar en baires repuestos cuanto sale el tactil de este ipad (tactil mas boton) avisar al cliente que primero tenemos que colocarle un tactil para poder probarla el cambio de tactil sale....... (segun lo que te pase baires lo presupuestamos)  a simple vista tiene cortada una antena de wifi"
4539,11/17/2022,10:7:26,Soldier,cuanto se presupuesto?
4539,11/23/2022,11:15:58,Marce Scana,no hay repuesto n osale
4540,10/17/2022,15:26:29,nico,"preguntar en baires repuestos cuanto sale el tactil mas boton en base a eso presupuestar al cliente cambio de tactil mas boton para poder probarla"
4540,11/23/2022,11:16:9,Marce Scana,no hay repeusto no sale
4541,10/17/2022,15:11:53,lolo,"viene en modulo completo se puede separar la imagen del tactil. Costo en ML de $15.700 se puede presupuestar cambio de tactil con riesgo en la imagen ya salió una y quedó bien. Sino presupuestar cambio de modulo completo no se no está en ML un iPad usado está $100.000"
4541,11/23/2022,11:15:35,Marce Scana,no hay repuesto no sale
4550,10/13/2022,11:2:9,Marce Scana,"matocorral@hotmail.com Enrruladius16"
4550,10/17/2022,14:11:2,lolo,"en el otro servicio tecnico le sacaron la bateria preguntar si se puede restaurar y pasar 5k para eso"
4550,10/18/2022,11:50:6,Marce Scana,ok para restarurar
4550,10/18/2022,12:34:34,lolo,"presupuestar microsoldadura por error 9 tiene pulsos de carga. Presupuestar más cara porque no tiene info y hay que comprarla"
4550,10/18/2022,13:53:8,nico,no menos de 20k
4550,10/19/2022,10:36:42,Marce Scana,"no sale armar que me lo llevo"
4550,10/19/2022,10:47:11,nico,ya cerramos
4565,10/17/2022,14:55:28,lolo,"presupuestar micro soldadura corto vcc main puede tener algo mas pero no puedo probarlo porque no prende"
4565,10/20/2022,13:14:1,Marce Scana,en noviembre paga una parte y hacemos la reparacion
4565,10/24/2022,14:56:9,lolo,buen ahora 30 eeeeehhhhh!!!!
4565,11/3/2022,13:46:30,Marce Scana,"no salcerrar"
4565,11/3/2022,14:34:17,lolo,"no está en Belgrano donde está??"
4571,10/18/2022,13:8:5,lolo,"hay que restaurarlo con otro pin de carga carga pero no tiene imagen pero si backlight. Lo conecté a la computadora y está en recovery hay que restaurarlo. Le cambiamos nosotros la batería?? Está rarardo el telefono tiene el conector de la batería partido"
4571,10/18/2022,13:8:30,lolo,vamos a empezar restaurando a ver si sale de recovery
4571,10/18/2022,14:50:31,Jeibito,"NONO LA CAMBIÓ EN OTRO LUGAR"
4571,10/18/2022,14:52:34,Jeibito,RESTAURAME BB
4571,10/19/2022,9:4:40,lolo,"salió del recovery y activó sigue con el problema de que tiene backlight pero no imagen con cualquier pantalla se lo voy a dejar a los chicos para que midan los conectores antes de presupuestar la reparación"
4571,10/19/2022,10:34:44,nico,"presupuestar $20.000 de reparación de microsoldadura y restauración tiene varios screwdamage en la placa. Su panta la probé en otro cel y funciona"
4571,10/19/2022,17:49:17,Jeibito,PERNDO RTA
4577,11/29/2022,13:48:0,Señor Rafa,"Estamos avanzando con el tema de la restauración y enlace le pedimos un poquito más de paciencia!"
4577,11/29/2022,14:36:57,ENTREGAR,cliente avisado.
4577,11/30/2022,9:25:53,nico,suerte
4582,10/19/2022,9:26:54,lolo,"le último diagnositco es el correcto. Tiene un problema en las RAMs hay que hacerle reballing a todas es un trabajo que lleva tiempo presupuestar $45.000 de microsoldadura. Después tiene la batería hinchada es muy probable que este mala y que si la quiere usar desconectada hay que cambiarla pero si se tiene siempre conectada al cargador no hace falta que esté con la batería buena"
4582,10/19/2022,13:25:0,Marce Scana,bate 35k
4582,10/28/2022,12:52:38,Marce Scana,ok para micro y cambio de bate
4582,10/28/2022,12:53:12,Marce Scana,"cuando este ok me dicen porfa que sistema operativo tiene si se puede actuliazar? gracias muy amables como siempre"
4582,10/28/2022,15:8:44,lolo,hacer el reflow de las ram
4582,10/31/2022,9:2:27,lolo,no quedó hay que volver a hacerlo
4582,11/23/2022,11:4:57,Señor Rafa,"No va a salir está muy dificil el tema de la Ram. El cliente ya se comunicó? Me parece que la devolvemos como esta."
4582,11/23/2022,11:5:10,Señor Rafa,Ver si se puede comprar otra por el precio que se le pasó al cliente por esta.
4582,11/24/2022,12:32:40,Soldier,"no se consigue mother para reemplazarlo se devuelve como esta."
4582,11/24/2022,13:51:59,Marce Scana,que repuesto es exactamente? lo puede traer el tipo de usa?
4582,11/24/2022,13:52:13,Marce Scana,cuanto le paso en ese caso ?
4582,11/24/2022,13:55:38,nico,"mother = placa madre. si consigue si que tengan en cuenta que es modelo 2011 el numero de serie es C02G1BBXDJWV"
4582,11/24/2022,13:57:34,nico,en ese caso es 35 de bateria y 5k de reemplazo de mother
4582,11/24/2022,13:57:55,Marce Scana,solo el mother necestia? a eso voy...
4582,11/24/2022,13:58:6,nico,obvio que del repuesto que trae el no damos garantia
4582,11/25/2022,12:28:13,lolo,"el repuesto que tiene que traer es un mother board macbook air a1369 820-3023-a completamente probada porque capaz compra una que es recontra barata pero es para repuesto no funcional. No sabemos si tiene algún problema además de la batería pero no debería se lo ve todo bastante bien"
4582,11/29/2022,10:26:40,Señor Rafa,ARMAR Y DEVOLVER. VAGO.
4582,11/29/2022,12:30:24,Soldier,dale lorenzo!!! vago!!!
4582,11/29/2022,12:30:45,Soldier,hace tres meses que tenia que estar esta compu cerrada!!!
4582,11/30/2022,8:23:19,lolo,bua
4582,11/30/2022,8:24:6,lolo,"tenog que hacer que revisen las cámaras proque ayer tu jefe agarró las cosas y dejó tiradas únicamente la placa y la caja con tornillos no se donde dejó el resto de cosas"
4582,12/7/2022,9:48:17,lolo,"ya se cerró entregar"
4617,10/20/2022,17:36:24,Marce Scana,"esta en garantia ver si sepuede pasar por apple"
4617,10/21/2022,10:22:35,lolo,"Tiene la carcasa destrozada que no pasa por apple el telefono está prendido pero tiene muerta la pantalla. A continuación paso a detallar las opciones que tiene el cliente"
4617,10/21/2022,11:0:20,lolo,"opcion 1: cambiar pantalla por original $90.000. Tiempo de 2 días opcion 2: enderezar carcasa cambiar el vidrio de carcasa $45.000 y cambiar pantalla por original $90.000. Total $135.000. Tiempo de 3 días opción 3: comprar un telefono y cambiarle la carcasa $40.000 y cambio de pantalla origianl $90.000. $130.000. Fecha incierta sale en minimo 15 días porque disponemos del tiempo de conseguir el telefono y de apple"
4617,11/15/2022,10:51:37,Soldier,pedir apple id y contraseña
4617,11/23/2022,15:18:9,Soldier,poner otra pantalla e intentar sacar el icloud
4617,11/24/2022,15:1:45,lolo,"conseguir pantalla de 12 para ponerle suerte y salu2"
4630,10/24/2022,13:22:41,lolo,"compramos un cable HDMI mañana tendría que llegar ahí le vamos a poder decir un poco más pero todavía no la vimos prendida"
4630,10/25/2022,9:53:24,lolo,"pedir contraseña prendió su disco es un hdd seguramente sea ese el problema porque tiene la RAM soldada. Con la contraseña vamos a poder dar el veredicto final"
4630,10/25/2022,15:26:45,Jeibito,PERANDO RTA
4630,10/26/2022,9:2:1,Jeibito,pass Enzo2018
4630,10/26/2022,9:38:52,Señor Rafa,"no es esa contraseña sino se la acuerda pasale upgrade de disco a un ssd 240GB $15.000 480GB $25.000"
4630,10/26/2022,12:18:7,Jeibito,PERANDO RTA
4630,10/26/2022,12:22:48,Jeibito,Enzo7818
4630,10/26/2022,13:27:29,Señor Rafa,contraseña: enzo
4630,10/26/2022,13:32:9,Señor Rafa,"tiene un disco HDD de 500gb terrible pija hay que cambiarlo para que ande rápido los presupuestos están arriba La ram no se puede aumentar porque está soldada en algún punto va a ser el limitante de la computadora pero no se puede hacer nada tiene únicamente 4gb de ram. Va a funcionar bien con el cambio de disco pero podría andar mejor"
4630,10/26/2022,13:32:18,Señor Rafa,(Lolo)
4630,10/26/2022,18:23:44,Jeibito,PERANDO RTA
4630,10/27/2022,16:34:18,Jeibito,LO COMPRAMOS?? A CUANTO??
4630,10/28/2022,9:1:57,lolo,"es un producto muy viejo del año 2012 si la compramos tenemos que comprar un monitor un mousse y un teclado. Tiene 4gb de ram y no actualiza más de high sierra la podemos comprar para repuestos comprar a $10.000"
4630,11/1/2022,16:3:13,Jeibito,perando rta
4631,10/24/2022,9:31:20,lolo,"pedir contraseña prendió. Con la contraseña lo probamos completo y te paso todo el presupuesto"
4631,10/25/2022,15:36:44,Jeibito,PERANDO RTA
4631,10/26/2022,8:59:27,Jeibito,pass_ 070818 o 07082018
4631,10/26/2022,9:13:27,lolo,"la contraseña es de 4 digitos y no es 0708 0718 0818"
4631,10/26/2022,12:17:47,Jeibito,PERANDO RTA
4631,10/26/2022,12:21:32,Jeibito,1232 - 3212 - 2005
4631,10/26/2022,12:47:11,lolo,"no es ninguna hay que esperar 15minutos que se la lleve"
4631,10/26/2022,12:47:41,lolo,sino pedir el apple id y lo restauramos sino se acuerda la contraseña
4631,10/26/2022,13:1:32,Jeibito,restaurame bb ya las desvinculó
4631,10/27/2022,9:41:41,lolo,"ya lo restauré pedir iCloud. c...@gmail.com"
4631,10/27/2022,16:30:23,Jeibito,PERANDO RTA
4631,10/27/2022,16:34:39,Jeibito,LO COMPRAMOS?? A CUANTO??
4631,10/28/2022,9:12:53,lolo,"pedir apple ID para poder activarlo sino se lo sabe compraselo a $4.000 que solo sirve para repuesto si se sabe el apple id y la podemos activar la probamos toda y vemos si le aumentamos el presupuesto"
4631,11/4/2022,14:37:54,Jeibito,PERANDO RTA
4632,10/24/2022,9:54:11,lolo,"presupuestar $24.000 de cambio de touch el suyo se toca solo lo pude activar pero está imposible de usar después de cambiarle el tactil podemos saber si tiene algo más"
4632,10/25/2022,15:34:6,Jeibito,PERANDO RTA
4632,10/26/2022,8:59:36,Jeibito,070818 o 07082018
4632,10/26/2022,9:14:45,lolo,ehhh.... que acepte el presupuesto jajaj
4632,10/26/2022,12:16:22,Jeibito,PROBAR PRIMERO
4632,10/26/2022,12:22:1,Jeibito,1232 - 3212 - 2005
4632,10/26/2022,13:2:3,Jeibito,restaurame bb ya las desvinculó
4632,10/26/2022,13:20:53,lolo,"se toca solo y un montón hay que cambiar el vidrio de touch no se puede probar más. Presupuestar cambio de vidrio de tactil $24.000"
4632,10/27/2022,16:33:17,Jeibito,OK PERANDO RTA
4632,10/27/2022,16:33:30,Jeibito,LO COMPRAMOS?? A CUANTO??
4632,10/28/2022,9:14:58,lolo,"sin el tactil es inusable en ML se encuentra por $40.000 comprar a $10.000 con el apple id sacado"
4632,11/4/2022,14:47:51,Jeibito,PERANDO RTA
4633,10/24/2022,9:36:47,lolo,"presupuestar $24.000 de cambio de touch el microfono de abajo no funciona tengo que abrirla para saber de que es el problema y el parlante se escucha tapado el parlante lo intentamos arreglar pero el microfono después te paso el presupuesto si es arreglable"
4633,10/25/2022,15:30:20,Jeibito,PERANDO RTA
4633,10/26/2022,8:59:44,Jeibito,070818 o 07082018
4633,10/26/2022,9:16:30,lolo,primero que acepte el cambio de tocuh y después vemos el resto
4633,10/26/2022,12:16:3,Jeibito,PROBAR PRIMERO
4633,10/26/2022,12:22:25,Jeibito,1232 - 3212 - 2005
4633,10/26/2022,13:2:19,Jeibito,restaurame bb ya las desvinculó
4633,10/26/2022,13:16:30,lolo,"presupuestar cambio de vidrio de tactil está separado $24.000 todo el resto de cosas funcionan bien"
4633,10/27/2022,16:29:30,Jeibito,PERANDO RTA
4633,10/27/2022,16:33:58,Jeibito,LO COMPRAMOS?? A CUANTO??
4633,10/28/2022,9:16:19,lolo,"idem sin apple id comprar a $10.000"
4633,11/4/2022,14:46:20,Jeibito,PERANDO RTA
4641,10/25/2022,15:23:1,lolo,"desarmamos la go pro y está toda la placa mojada y tiene sulfatado un integrado lo cual no sabemos si es el problema pero tampoco sabemos si se consigue el integrado por lo que cuesta la go pro no vale la pena el arreglo"
4645,10/25/2022,13:23:25,lolo,"lo mismo que la otra está re contra desactualizada hay que actualizarla y no se si se puede hacer manteniendo la ifno tiene disco hdd y 4gb de ram. Se le puede ofrecer no perder la info cambiando de ssd lo mismo que a la otra el precio es diferente porque en esta se puede romper el vidrio abriendo la patnalla. El teclado no me lo reconoció pero no se si puede ser por que tiene el soft muy viejo upgrade de Ram 8gb $24.000 cambio de disco SSD 240gb $15.000 cambio de disco SSD 480gb $24.000"
4645,10/25/2022,14:46:25,lolo,"me olvidé de aumentarte el precio están iguales que el otro Agus pasó ""cambio de disco 480gb sólido 38mil pesos. Sin riesgos."" a la otra imac que está aca aumenta el precio de ssd 240gb a $27.000 y el ssd de 480gb $38.000"
4645,10/26/2022,17:43:15,Jeibito,PERANDO RTA
4645,11/17/2022,16:51:27,Jeibito,"los programas que se usarían en la iMac son Adobe indesign illustrator  Photoshop  lightRoom . Te lo paso para que me digas concretamente si vale la pena la inversión de repararla"
4645,11/18/2022,9:16:55,lolo,"Buen dia Bebi te cuento para explicarle al cliente. Apple para las macbook's saca 1 sistema operativo cada 2 años aproximadamente. Y con esas actualizaciones lo que van haciendo es que las computadoras que tengan 6 años de diferencia con el último sistema operativo no sea capaz de actualizar al nuevo. En este caso está computadora es del 2011 entonces llega a actualizar hasta el sistema operativo correspondiente al año 2016 que es High Sierra. Pero los programa que pregunta el cliente"
4645,11/18/2022,9:19:43,lolo,"actualizados a la versión 2022 tienen como requisito tener como minimo el sistema operativo del año 2020 entonces no cumple ese requisito. Sin embargo si usa una versión anterior de los programas si puede ser capaz de usarlos. Esto en cuanto a la versión que es capaz de usar esta imac en cuanto a los requerimientos de hardware con 8gb ram y ssd de cualquier tamaño va a cumplir los requisitos minimos para ser capaz de funcionar aunque Adobe recomienda 16 de Ram."
4645,11/18/2022,9:22:10,lolo,"comunicale esto al cliente a ver si le cierra usar una versión desactualizada de todos los programas que le van a funcionar bien o también se le puede ofrecer otras 8gb de ram lo que serían 16gb por $40.000"
4645,11/18/2022,12:39:10,Jeibito,Gracias lolox
4645,11/18/2022,12:39:20,Jeibito,Esperando respuesta
4645,12/16/2022,15:50:7,Jeibito,Confirma cambio de disco ssd de 480gb $38.000 Y Upgrade a 16gb por $40.000
4645,12/19/2022,12:59:28,Ricky,pedir apple id o correo electronico porque necesito iniciar sesion con adobe para instalar las apps
4645,12/20/2022,10:22:34,lolo,ya estáhecho el upgrade
4645,12/20/2022,11:34:57,Jeibito,perando rta
4645,12/20/2022,14:34:39,Jeibito,CPRIMO05@YAHOO.COM.AR
4645,12/21/2022,10:14:14,lolo,"mail y contraseña necesitamos una cuenta para entrear al Adove perdonalo a Ricky no sabe hablar"
4645,12/21/2022,11:40:38,Jeibito,perando rta
4645,12/21/2022,12:20:28,Jeibito,Carlosprimo01
4645,12/22/2022,12:42:21,lolo,"falta el illustrator de todos los programas que quería falta 1hs para que termine para las 16hs está para retirar creo que ella tenía otra macbook que buscaba estos programas si los quiere se los podemmos poner los mismos."
4656,10/27/2022,13:5:48,lolo,"el problema es de la panta no de ningun cable presupuestar cambio de pantalla completo original por $130.000 o cambio de display por $90.000"
4656,10/28/2022,15:17:46,Marce Scana,ok para cambio de pantalla completo original
4656,10/31/2022,9:27:45,lolo,"buenisimo maestro fijate como compras la pantalla salu2"
4656,10/31/2022,14:26:2,nico,"por el momento no hay panta van a entrar en unos dias"
4656,12/20/2022,14:9:17,Soldier,el repuesto esta pedido tiene un costo de 88k la mina paga 130k
4656,12/20/2022,14:9:28,Soldier,"va a tardar un mes en llegar"
4661,10/28/2022,9:48:17,lolo,"presupuestar cambio de batería que está hinchada y cambio de modulo de pantalla completo su pantalla no da imagen lo puse con otro y da imagen pero su batería no funciona entonces está en loop. No se puede probar más cosas porque sin su batería buena no termina de prender y no le puedo probar más nada. Resumen: presupuestar cambio de batería y cambio de pantalla Para pasar el presupuesto buscar a cuanto se consigue la batería y para la pantalla se puede comprar el modulo en ML un iPad en ML"
4661,10/28/2022,9:48:36,lolo,o un iPad en marketplace.
4661,11/15/2022,14:4:12,Soldier,presupuestar bateria 35k. vamos a ver si la hacemos prender con la fuente para probar el modulo. si llega a andar le presupuestamos cambio de vidrio si es que asume el riesgo.
4661,11/15/2022,15:40:20,nico,el soldier probo con la fuente para ver si daba imagen y tiene muerto el backligth. presupuestar cambio de modulo. 115k
4662,10/27/2022,9:26:58,lolo,"está todo manoseado no tiene tornillos ni blindajes está toda rota la pantalla y no sabemos que tiene no sale"
4663,10/27/2022,9:11:26,nico,"Presupuetar corto en VCC-Main podría tener más cosas está muy manoseado. Le faltan todos los blindajes."
4663,10/28/2022,12:9:58,Marce Scana,no sale
4663,10/28/2022,12:50:43,nico,ok
